experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
E26_experience_ablation_A_G,0xADEE,6dc63e8,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.962370,0.977997,0.955072,0.952587,0.000000,0.003136,0.274026,1.000000,0.999955,-0.010877,0,80,20,24,202df564110d837756dcc68778bf199722f05ad20bbc93a86d8454b2309af145,LOCKED,CLEAN,296358,NULL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.962 C1=0.962 C2=0.951 C3=0.941 C4=0.954 C5=0.938 C6=0.899; gain=-0.011; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xA308,6dc63e8,transfer_translation,MODE_2_DYNAMIC_FIELD,0.995612,0.996519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1d47f8c18e299ce9bebe1ccf3581b9512a40ec9d829e0bf70ebd3eca924131db,LOCKED,CLEAN,268800,NULL,true,"B1=0.996 B2=0.994 B3=0.989; targets never in consolidation"
E28_continual_forgetting,0xA308,6dc63e8,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.995005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,537600,PARTIAL,true,"R1..R4 retention [0.9911254659153136, 0.9921727768303491, 0.9983220723063213, 0.9984010126814242] forgetting=-0.007; CDT regularity replay"
E29_causal_intervention,0xA308,6dc63e8,,,0.990475,0.977702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1ccb462750d10322126c51fd59af8882885792bace47106707247d90d9059cd6,LOCKED,CLEAN,0,NULL,true,"baseline=0.990 targeted=0.954 random=0.857 rollback=0.990; drop_t=0.037 drop_r=0.134 rollback_ok=true"
E30_serialize_reload_persistence,0xA308,6dc63e8,,,0.990960,0.978616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,9e4cd6e6ba6c9d0c7d48211b1df36dab2a77860e57e567e3e72a80bb2614f423,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.991 P1(enc+dyn)=0.991 P2(dyn+fresh_enc)=0.868 P3(cdt_stats)=0.979; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xA309,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA309,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.969534,0.996575,0.982697,0.956516,0.000000,0.002539,0.242821,1.000000,0.999907,0.000000,0,80,20,24,ce6935926063a8060a61337ced56ab3295682c17e8ff8e3bbccc702c2de27ad0,LOCKED,CLEAN,296298,NULL,true,"continuous T; X_new/B_new outside train; MSE=0.0025 rel=0.2428 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3C9,6dc63e8,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.929285,0.976142,0.954733,0.928682,0.000000,0.005893,0.361675,1.000000,0.998492,0.027154,0,80,20,24,d8b7b3e3686c89eec4cac3609631f571246eb852476f97802f47f82ea54367c2,LOCKED,CLEAN,296281,NULL,true,"C0=0.929 C1=0.929 C2=0.956 C3=0.964 C4=0.952 C5=0.969 C6=0.940; gain=0.027; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD10,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.966287,0.987540,0.971454,0.961751,0.000000,0.002809,0.255879,1.000000,0.999877,0.000000,0,80,20,24,30901f901a12934fc3a4086d07270d0090ef8a83bd44ac57707e8ae7bd467a4e,LOCKED,CLEAN,296279,NULL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA309,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.992096,0.999313,0.991701,0.986641,0.000000,0.000659,0.122512,1.000000,0.999970,0.000000,0,80,20,24,2f71d994fe06131e1709d67f8e0a29404bf5122fc806cf3f66165efe24c42faf,LOCKED,CLEAN,296298,PARTIAL,true,"rule_cos=0.992 traj_cos=0.998 anti_cos=0.976; antimem_drop=0.016"
E21_interpolation_vs_extrapolation,0xA309,6dc63e8,translation_param,MODE_2_DYNAMIC_FIELD,0.988867,0.977951,0.990788,0.973828,0.000000,0.000928,0.145945,1.000000,0.999971,0.000000,0,108,20,24,a1799272bc208b30d1cd4ac6cbdc505b866cb8e5c099921282149f04525d9405,LOCKED,CLEAN,399956,PARTIAL,true,"interp_cos=0.960 extrap_cos=0.989 (dx denser curriculum; action geom-norm +0.25; train dx in [-2,2] test dx=3; n_train=108)"
E22_composition_rqm_off,0xA309,6dc63e8,compose,MODE_2_DYNAMIC_FIELD,0.963460,0.975326,0.913542,0.848111,0.000000,0.003716,0.298229,1.000000,0.999926,0.000000,0,120,0,24,9f966a6ed34642ac96162d86a2ec54e5b013c09e2f6434e598f95e221cf0559d,LOCKED,CLEAN,444537,NULL,true,"seq-oracle compose RQM-OFF cos=0.963 static=0.975 step1=0.966; single-shot compose action cos=0.955; controls linear=0.914 nn=0.848 table=0.000"
E23_rollout_no_teacher_forcing,0xA309,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.648580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.636501,0.000000,0,80,0,24,86949986b805214f33e35f50c6c3039e5df7f442ab53da55d9ddbd5ce471377f,LOCKED,CLEAN,296281,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9848657066176449, 0.9346985601708631, 0.6363973385701337, 0.6365009851564895, 0.3949455717148749, 0.7399504275318507, 0.6485804879490806] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA309,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.985705,0.972415,0.984324,0.966257,0.000000,0.001191,0.166013,1.000000,0.999918,0.000000,0,80,0,24,248340b1e90a4de788d9a2b741d69ddd239fb5ceba6ade273a81a1daca875281,LOCKED,CLEAN,268800,NULL,true,"delta_mean=0.0133 median=0.0147 std=0.0159 bootstrap95%=[0.0066,0.0179] effect≈0.837"
E25_central_experience_cdt_cycle,0x4152,6dc63e8,scaling,MODE_2_DYNAMIC_FIELD,0.994089,0.997461,0.993269,0.980390,0.000000,0.000493,0.105619,1.000000,0.999937,-0.002286,0,80,20,24,8b35af8fca4c09099da866fab44f8069d34daf8c214438a891377585009d5dbd,LOCKED,CLEAN,296320,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.994 without=0.996 gain=-0.002; Y_new_unstored=true; memories OFF at eval"
E26_experience_ablation_A_G,0xADEF,6dc63e8,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.880102,0.978465,0.937394,0.911915,0.000000,0.009992,0.478698,1.000000,0.999315,0.026302,0,80,20,24,b5075263d8a111e5460f0f9d20676a114dc190c00d74cbaf1c3fcb145cb51dda,LOCKED,CLEAN,296358,NULL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.880 C1=0.880 C2=0.906 C3=0.862 C4=0.888 C5=0.943 C6=0.887; gain=0.026; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xA309,6dc63e8,transfer_translation,MODE_2_DYNAMIC_FIELD,0.995754,0.993031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,bb52455fc9d164d96f7d4fa2c9f8029e5a9206e0da0d0554893ffe5e12885123,LOCKED,CLEAN,268800,NULL,true,"B1=0.996 B2=0.989 B3=0.990; targets never in consolidation"
E28_continual_forgetting,0xA309,6dc63e8,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.997595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,537600,PARTIAL,true,"R1..R4 retention [0.995785241681216, 0.9960414305091385, 0.9992553342348739, 0.9992982166730072] forgetting=-0.004; CDT regularity replay"
E29_causal_intervention,0xA309,6dc63e8,,,0.991550,0.983426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0b87765bb497b891864001b67e135909889f5b380b4112bb55cab33ffda97d00,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.992 targeted=0.961 random=0.992 rollback=0.992; drop_t=0.030 drop_r=-0.001 rollback_ok=true"
E30_serialize_reload_persistence,0xA309,6dc63e8,,,0.994069,0.987176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,05bad4e30908b0007ac15eb633ce3262df6ae4bfb2ff7c1d170699f2cd38b701,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.994 P1(enc+dyn)=0.994 P2(dyn+fresh_enc)=0.873 P3(cdt_stats)=0.987; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xA30A,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA30A,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.926552,0.984559,0.975458,0.967466,0.000000,0.006121,0.372252,1.000000,0.999850,0.000000,0,80,20,24,01dea1811d0e4c51a797a034eb7836aac76c8150658dbb72ddf4b3181abd12da,LOCKED,CLEAN,296287,NEGATIVE,true,"continuous T; X_new/B_new outside train; MSE=0.0061 rel=0.3723 energy=1.0000 stab=0.9998; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3CA,6dc63e8,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.920086,0.964304,0.940388,0.931103,0.000000,0.006659,0.398809,1.000000,0.999868,0.020058,0,80,20,24,0caa61b450d89469607cfcdcaccf978ba03994d71429c08a5e3b24d120363d45,LOCKED,CLEAN,296327,NULL,true,"C0=0.920 C1=0.920 C2=0.940 C3=0.956 C4=0.875 C5=0.944 C6=0.983; gain=0.020; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD13,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.953143,0.986157,0.974302,0.953515,0.000000,0.003905,0.293109,1.000000,0.999859,0.000000,0,80,20,24,b8836f8f4599df9cb82c0cd6077d7e54030adeed3c8e770e215cda7c00968195,LOCKED,CLEAN,296339,NULL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA30A,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.938449,0.999030,0.969546,0.906676,0.000000,0.005129,0.332883,1.000000,0.999904,0.000000,0,80,20,24,4550b5449f5b069520f1f0d9f5698315fd529630e90f89df31c4993357e582f3,LOCKED,CLEAN,296287,PARTIAL,true,"rule_cos=0.938 traj_cos=0.999 anti_cos=0.931; antimem_drop=0.007"
E21_interpolation_vs_extrapolation,0xA30A,6dc63e8,translation_param,MODE_2_DYNAMIC_FIELD,0.939452,0.990638,0.955295,0.965275,0.000000,0.005046,0.343772,1.000000,0.999985,0.000000,0,108,20,24,2a0ea22a559a5660dbe8fbaffb6c548a7e1d2eefb2b8223eb8d3b08b114f8e5a,LOCKED,CLEAN,400049,NEGATIVE,true,"interp_cos=0.960 extrap_cos=0.939 (dx denser curriculum; action geom-norm +0.25; train dx in [-2,2] test dx=3; n_train=108)"
E22_composition_rqm_off,0xA30A,6dc63e8,compose,MODE_2_DYNAMIC_FIELD,0.939828,0.935458,0.850112,0.720213,0.000000,0.005524,0.364094,1.000000,0.999977,0.000000,0,120,0,24,c9b166938f08c8f3c9258e320e48ec915b3d948aff8c4fe4ad5f7b64b72e6db5,LOCKED,CLEAN,444452,PARTIAL,true,"seq-oracle compose RQM-OFF cos=0.940 static=0.935 step1=0.995; single-shot compose action cos=0.934; controls linear=0.850 nn=0.720 table=0.000"
E23_rollout_no_teacher_forcing,0xA30A,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,-0.197595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.172697,0.000000,0,80,0,24,f4b6f7b59358c1bcb22b362c2abd81715a8bc15cee0891c2ccc9f69414fd08f9,LOCKED,CLEAN,296327,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9759209244484234, 0.8708601983456267, 0.4145274574604116, 0.17269654343856775, -0.08872828081804646, -0.2512054155745694, -0.19759453299179305] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA30A,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.988483,0.981629,0.977737,0.980990,0.000000,0.000960,0.148793,1.000000,0.999940,0.000000,0,80,0,24,9ea1411d86f7dfa6729aeef06694b97d1cb1b40a2c244f1c27822f84d6cbf855,LOCKED,CLEAN,268800,NULL,true,"delta_mean=0.0069 median=0.0055 std=0.0079 bootstrap95%=[0.0035,0.0102] effect≈0.867"
E25_central_experience_cdt_cycle,0x4151,6dc63e8,scaling,MODE_2_DYNAMIC_FIELD,0.990886,0.997958,0.994390,0.991195,0.000000,0.000759,0.134537,1.000000,0.999931,0.026674,0,80,20,24,8d1a2b795dcaecb34848837194e2b31050eb86b6a5fba413129192710637249c,LOCKED,CLEAN,296271,PARTIAL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.991 without=0.964 gain=0.027; Y_new_unstored=true; memories OFF at eval"
