experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
E18C_cdt_conditions_C0_C6,0xA3C7,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.983827,0.827465,0.986536,0.920042,0.000000,0.001348,0.177154,1.000000,0.999931,-0.000006,0,28,10,12,e860cba82d350d2e5f7a6ba73956a5b5f4e05ba5eb1d3ba13002b96c676b2eec,LOCKED,CLEAN,16800,NULL,true,"C0=0.984 C1=0.984 C2=0.984 C3=0.974 C4=0.968 C5=0.985 C6=0.985; gain=-0.000; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD1E,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.965787,0.947944,0.964528,0.897069,0.000000,0.002851,0.257329,1.000000,0.999909,0.000000,0,28,10,12,d84f415128dd7d31cc1dabfe3569a98acbbea68665f26734982693f68fd2c619,LOCKED,CLEAN,16800,PARTIAL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA307,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.995310,0.997391,0.979911,0.957132,0.000000,0.000391,0.093976,1.000000,0.999948,0.000000,0,28,10,12,b772a55023bb0a6c7e9d927bd6b7912287915fbcaa763e42052ec38e9f307f74,LOCKED,CLEAN,16800,PARTIAL,true,"rule_cos=0.995 traj_cos=0.999 anti_cos=0.974; antimem_drop=0.022"
E21_interpolation_vs_extrapolation,0xA307,0aeaa14,translation_param,MODE_2_DYNAMIC_FIELD,0.743977,0.915360,0.779502,0.826719,0.000000,0.021335,0.709911,1.000000,0.999753,0.000000,0,20,6,6,8918af739cc2e42b631a1321557baecf0a6809b996074abb0e35aa91d7c9f291,LOCKED,CLEAN,12000,NEGATIVE,true,"interp_cos=0.799 extrap_cos=0.744 (dx protocol; train dx in [-2,2] test dx=3)"
E22_composition_rqm_off,0xA307,0aeaa14,compose,MODE_2_DYNAMIC_FIELD,0.883481,0.946429,0.974269,0.925239,0.000000,0.009710,0.465186,1.000000,0.999869,0.000000,0,28,0,12,cfbe7a40688d90ed6f3ff4850cc869c7fe74b0b1e92f1086bf01d54106c25ed2,LOCKED,CLEAN,16800,NEGATIVE,true,"D_phi RQM-OFF compose; controls static=0.946 linear=0.974 nn=0.925 table=0.000; RQM compose=control only"
E23_rollout_no_teacher_forcing,0xA307,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.293987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.901213,0.000000,0,28,0,12,8f69065bb25835495dbd70abefbbd1f5a9a2b13237f316cb3e01de1bcc31a4de,LOCKED,CLEAN,16800,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.998203631733538, 0.9928050278928159, 0.9714277094836926, 0.9012129317443405, 0.7607204188306335, 0.5769262842173336, 0.2939866101542329] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA307,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.959287,0.937508,0.913313,0.927297,0.000000,0.003393,0.283891,1.000000,0.999845,0.000000,0,28,0,12,184e3721df0c202fc55907e3c7a2ae00450d1466d5963e55fb71c34707c8ffbc,LOCKED,CLEAN,15120,NULL,true,"delta_mean=0.0218 median=0.0209 std=0.0304 bootstrap95%=[0.0032,0.0376] effect≈0.716"
E25_central_experience_cdt_cycle,0x415C,0aeaa14,scaling,MODE_2_DYNAMIC_FIELD,0.998272,0.998953,0.996350,0.962028,0.000000,0.000144,0.058221,1.000000,0.999964,-0.000552,0,28,10,12,edf9612d014772cfebdf96cd014733b5d8ceb63515c3b82300b53400586d2762,LOCKED,CLEAN,16800,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.998 without=0.999 gain=-0.001; Y_new_unstored=true; memories OFF at eval"
E26_experience_ablation_A_G,0xADE1,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.993166,0.818806,0.991174,0.952919,0.000000,0.000569,0.107504,1.000000,0.999940,0.001403,0,28,10,12,b23c73bacbc8c2a0a60b26371f3d7ad360d3fad18f409113d13694b52da1b147,LOCKED,CLEAN,16800,NULL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.993 C1=0.993 C2=0.995 C3=0.990 C4=0.973 C5=0.990 C6=0.995; gain=0.001; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xA307,0aeaa14,transfer_translation,MODE_2_DYNAMIC_FIELD,0.987963,0.979553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,fc93185425ae4841770c3a883d39e64e515e2ec3a3ef6c85637d07dd17c85a68,LOCKED,CLEAN,15120,PARTIAL,true,"B1=0.988 B2=0.989 B3=0.977; targets never in consolidation"
E28_continual_forgetting,0xA307,0aeaa14,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.995369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,30240,PARTIAL,true,"R1..R4 retention [0.9918388358491304, 0.9933252402920753, 0.9991135943491632, 0.9971968214906508] forgetting=-0.005; CDT regularity replay"
E29_causal_intervention,0xA307,0aeaa14,,,0.979379,0.936764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,b807924927d4e98f48d9aff9667009b31e2be2f3afc4cb21daaf298c794d8cca,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.979 targeted=0.890 random=0.980 rollback=0.979; drop_t=0.089 drop_r=-0.001 rollback_ok=true"
E30_serialize_reload_persistence,0xA307,0aeaa14,,,0.985073,0.933085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2935981c5620896d5ed57ceca4a433bdac253c3ed1ec3d811bd6d90021dfffe4,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.985 P1(enc+dyn)=0.985 P2(dyn+fresh_enc)=0.737 P3(cdt_stats)=0.933; in-process serialize/reload; OS restart deferred"
