experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
E18_reinforced_rule_learning,0xB303,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.969450,0.727914,0.859138,0.861084,0.000000,0.002546,0.239766,1.000000,0.999923,0.000000,0,80,20,24,e2b93a458d0adb00332cc7e36826d421d05d627d11dbcad9cdbb2806775560ef,LOCKED,CLEAN,1557752,STRONG_POSITIVE,true,"v3.7 SoftScale-train + Relative-static-probe; continuous T; X_new/B_new outside train; MSE=0.0025 rel=0.2398 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xB3C3,ce282a2,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.515895,0.643571,0.468482,0.298155,0.000000,0.040342,0.961694,1.000000,0.999965,-0.129829,0,80,20,24,b0f49559e31f07b4c19ade019987857771d2dd4f820138de0663205aceceeda7,LOCKED,CLEAN,1747968,PARTIAL,true,"C0=0.516 C1=0.516 C2=0.386 C3=0.543 C4=0.877 C5=0.468 C6=0.828; gain=-0.130; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xBD1A,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.994758,0.567053,0.971425,0.949355,0.000000,0.000437,0.098652,1.000000,0.999916,0.000000,0,80,20,24,a0cbba8393fc77b26c3c30aa4aac5608ff1b31883322141da89060bc45740650,LOCKED,CLEAN,1558777,STRONG_POSITIVE,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xB303,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.995463,0.998071,0.989593,0.936327,0.000000,0.000378,0.095162,1.000000,0.999898,0.000000,0,80,20,24,6c6700b7a05595941d59b43e752e38cfccfbb7ad3562a27e51d76f8d73fd4d68,LOCKED,CLEAN,1744792,PARTIAL,true,"rule_cos=0.995 traj_cos=0.993 anti_cos=0.989; antimem_drop=0.006"
E21_interpolation_vs_extrapolation,0xB303,ce282a2,translation_param,MODE_2_DYNAMIC_FIELD,0.809329,0.127364,0.585232,-0.160210,0.000000,0.015889,0.616841,1.000000,0.999858,0.000000,0,108,20,24,fe367cb05d386862eab83fd93a4707b57d43b7c94cba10690208412995b1404f,LOCKED,CLEAN,1917560,PARTIAL,true,"v3.5 SoftScale-train + Relative-static-probe; interp_cos=0.959 extrap_cos=0.809 static_rel=0.127 (dx denser + multifamily; train dx in [-2,2] test dx=3; n_train=108)"
E22_composition_rqm_off,0xB303,ce282a2,compose,MODE_2_DYNAMIC_FIELD,0.727567,0.585690,0.944157,0.924061,0.000000,8.848120,0.496380,1.000000,0.999945,0.000000,0,120,0,24,4af5ba4cada6f2e02dc8119e1376e3db65a5ca7f0ed416b64ba4ebdd966e79d5,LOCKED,CLEAN,2146383,PARTIAL,true,"v3.7 mid-agree-gated hop2|shot(24/0) + disagree-lin∩mlp + Relative-static SoftScale-dyn RQM-OFF cos=0.728 static_rel=0.586 step1=0.937 pt_err=8.848; oracle-mid=0.797; soft-hybrid-diag=0.765; single-shot=0.866; linear=0.944 nn=0.924 table=0.000"
E23_rollout_no_teacher_forcing,0xB303,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.779772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.850425,0.000000,0,80,0,24,d0f671e4eba59476fff2e1804972219edaa7c0606f1cc5d73a2e8d1b5bfab3da,LOCKED,CLEAN,1445626,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9936711397637462, 0.9814104432577054, 0.9400518212991522, 0.8504254141599562, 0.715020862355665, 0.7332580829492326, 0.7797717048770395] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (v3.6: shared v3.5 mix retained; pure step eval; no TF; E22-focused levers)"
E24_static_vs_dynamic_paired,0xB303,ce282a2,,MODE_2_DYNAMIC_FIELD,0.903240,0.575418,0.321207,0.090772,0.000000,0.008063,0.411764,1.000000,0.999948,0.000000,0,80,0,24,71549c1773fb028c4de6622904a24ca68a419026458f0b0044edc4cddd315002,LOCKED,CLEAN,1525050,POSITIVE,true,"v3.7 SoftScale-dyn + Relative-static; delta_mean=0.3278 median=0.2774 std=0.2688 bootstrap95%=[0.2465,0.4373] effect≈1.220; static=NO_ACTION"
E25_central_experience_cdt_cycle,0x5158,ce282a2,scaling,MODE_2_DYNAMIC_FIELD,0.804840,0.820970,0.812003,0.727176,0.000000,0.016263,0.611886,1.000000,0.999911,-0.133424,0,80,20,24,22d11164021ceb12196d797e163d64afaa31042e2452c23f2cd0e4e1d32d92dd,LOCKED,CLEAN,1754896,PARTIAL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.805 without=0.938 gain=-0.133; Y_new_unstored=true; memories OFF at eval"
E26_experience_ablation_A_G,0xBDE5,ce282a2,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.380146,0.378739,0.116125,0.324137,0.000000,0.051654,1.050229,1.000000,0.999721,0.255635,0,80,20,24,87f07222ebe77e2da4f5b1be3889a8f63922d9e762c2b37bb48ee70bfc094bcc,LOCKED,CLEAN,1754467,PARTIAL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.380 C1=0.380 C2=0.636 C3=0.042 C4=0.734 C5=0.596 C6=0.111; gain=0.256; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xB303,ce282a2,transfer_translation,MODE_2_DYNAMIC_FIELD,0.788793,0.788787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,648d8b9ec0a9e3adf2f6cd98e8fbcb80fd93d977360db244816dd43cfd68b506,LOCKED,CLEAN,1163397,PARTIAL,true,"B1=0.789 B2=0.691 B3=0.954; targets never in consolidation"
E28_continual_forgetting,0xB303,ce282a2,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.977948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,2421963,PARTIAL,true,"R1..R4 retention [0.994661515780114, 0.9191733682142217, 0.9987829798291616, 0.9991759784502059] forgetting=-0.005; CDT regularity replay"
E29_causal_intervention,0xB303,ce282a2,,,0.974994,0.976458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,de68256a93cad3d9fd471c0c8ae40623087bde83bb379be65d33b141bfebf03a,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.975 targeted=0.940 random=0.972 rollback=0.975; drop_t=0.035 drop_r=0.003 rollback_ok=true"
E30_serialize_reload_persistence,0xB303,ce282a2,,,0.980910,0.993464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,98fefeb5dd94fff939e6ce8227b770ece466ab66aa1c168b9eee775611c284ad,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.981 P1(enc+dyn)=0.981 P2(dyn+fresh_enc)=0.749 P3(cdt_stats)=0.993; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xB304,ce282a2,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xB304,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.995662,0.361637,0.957270,0.898666,0.000000,0.000362,0.088580,1.000000,0.999902,0.000000,0,80,20,24,54cdc1d21c27f7570e4452628b552e6f26399e6184927c3d868e1db651392968,LOCKED,CLEAN,1526814,STRONG_POSITIVE,true,"v3.7 SoftScale-train + Relative-static-probe; continuous T; X_new/B_new outside train; MSE=0.0004 rel=0.0886 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xB3C4,ce282a2,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.224583,0.452259,0.279643,-0.077441,0.000000,0.064618,1.227783,1.000000,0.999742,0.122730,0,80,20,24,1d406b622bce18d8cc5e6e59cd954804025de9559c9950df4240124da882026f,LOCKED,CLEAN,1796961,PARTIAL,true,"C0=0.225 C1=0.225 C2=0.347 C3=0.302 C4=0.575 C5=0.374 C6=0.813; gain=0.123; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xBD1D,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.988866,0.577316,0.990403,0.934073,0.000000,0.000928,0.147741,1.000000,0.999906,0.000000,0,80,20,24,bfe36b612e3b5eac6ce6459e7254f18e5c0a1115687b6d72e78dd2dfa0c5f711,LOCKED,CLEAN,1537975,STRONG_POSITIVE,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xB304,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.997809,0.993562,0.947553,0.790825,0.000000,0.000183,0.062795,1.000000,0.999944,0.000000,0,80,20,24,fb7c83b6512c50bb592aceea49f094b42cbbe184ff89b40619cf1ea2daf53f36,LOCKED,CLEAN,1762446,PARTIAL,true,"rule_cos=0.998 traj_cos=0.997 anti_cos=0.990; antimem_drop=0.008"
E21_interpolation_vs_extrapolation,0xB304,ce282a2,translation_param,MODE_2_DYNAMIC_FIELD,0.988384,0.636337,0.962370,0.951006,0.000000,0.000968,0.151370,1.000000,0.999924,0.000000,0,108,20,24,1c74ba4595808655cb09aec9a7d384e05e57ad373bd7a67a9b3a961482bc1c5f,LOCKED,CLEAN,1932115,STRONG_POSITIVE,true,"v3.5 SoftScale-train + Relative-static-probe; interp_cos=0.992 extrap_cos=0.988 static_rel=0.636 (dx denser + multifamily; train dx in [-2,2] test dx=3; n_train=108)"
E22_composition_rqm_off,0xB304,ce282a2,compose,MODE_2_DYNAMIC_FIELD,0.953125,0.798467,0.904175,0.804803,0.000000,4.750421,0.251358,1.000000,0.999823,0.000000,0,120,0,24,17d29d1aa33c7f4d4434d783f5f55a4f08cbd7b3e99beed7366174cf9f5dcc38,LOCKED,CLEAN,2150556,STRONG_POSITIVE,true,"v3.7 mid-agree-gated hop2|shot(24/0) + disagree-lin∩mlp + Relative-static SoftScale-dyn RQM-OFF cos=0.953 static_rel=0.798 step1=0.981 pt_err=4.750; oracle-mid=0.939; soft-hybrid-diag=0.921; single-shot=0.967; linear=0.904 nn=0.805 table=0.000"
E23_rollout_no_teacher_forcing,0xB304,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.461681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.758443,0.000000,0,80,0,24,7b8ff88707be1a6a8c2e826eb3aff50c4c9071a787aec50f83b36fb0739f9e51,LOCKED,CLEAN,1439383,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.7845518995544071, 0.28511687858676105, -0.46273621972366374, -0.7584432178165698, -0.6884406760204161, -0.12583434026287724, 0.46168146474455707] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (v3.6: shared v3.5 mix retained; pure step eval; no TF; E22-focused levers)"
E24_static_vs_dynamic_paired,0xB304,ce282a2,,MODE_2_DYNAMIC_FIELD,0.892973,0.519419,0.865415,0.943948,0.000000,0.008919,0.459877,1.000000,0.999995,0.000000,0,80,0,24,7ad328f647fe3619018a852a3f83a71d25bbc9232fbd08cd9a50b3161fa70d65,LOCKED,CLEAN,1555468,POSITIVE,true,"v3.7 SoftScale-dyn + Relative-static; delta_mean=0.3736 median=0.3442 std=0.2106 bootstrap95%=[0.2962,0.4503] effect≈1.773; static=NO_ACTION"
E25_central_experience_cdt_cycle,0x515F,ce282a2,scaling,MODE_2_DYNAMIC_FIELD,0.679362,0.071149,-0.022007,-0.058417,0.000000,0.026720,0.706938,1.000000,0.999778,-0.162463,0,80,20,24,3b0d2016b9caf0d1f1d68de9bed6c94b35fef6f2e0f4263284959c19ae5d3125,LOCKED,CLEAN,1742271,PARTIAL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.679 without=0.842 gain=-0.162; Y_new_unstored=true; memories OFF at eval"
